text	frequency	labels
Aab	116	['Rufname']
Aach	38	['Wohnstätte']
Aagten	11	['Rufname']
Aal	63	['Beruf', 'Wohnstätte', 'Rufname', 'Herkunft']
Aalbers	30	['Rufname']
Aalberts	11	['Rufname']
Aandekerk	2	['Wohnstätte']
Aarents	2	['Rufname']
Aarns	17	['Rufname']
Aaron	14	['Rufname']
Abaci	40	['Beruf']
Abali	27	['Übername']
Abas	31	['Rufname', 'Herkunft']
Abasiz	13	['Übername']
Abatzidis	8	['Beruf']
Abatzidou	1	['Beruf']
Abatzis	16	['Beruf']
Abatzoglou	3	['Beruf']
Abay	56	['Rufname', 'Rufnamenmuster', 'Herkunft']
Abb	122	['Rufname']
Abbas	262	['Rufname', 'Übername']
Abbasi	47	['Rufname']
Abbe	69	['Rufname']
Abbel	31	['Rufname']
Abben	25	['Rufname']
Abbenzeller	5	['Herkunft']
Abbes	32	['Rufname', 'Übername']
Abbetmeier	9	['Beruf']
Abbetmeyer	12	['Beruf']
Abbing	227	['Rufname']
Abbink	26	['Rufname']
Abbold	4	['Rufname']
Abbott	30	['Übername']
Abbrecht	12	['Rufname']
Abbruzzese	29	['Herkunft']
Abbruzzesi	3	['Herkunft']
Abbruzzi	2	['Herkunft']
Abbruzzino	5	['Herkunft']
Abbruzzo	4	['Herkunft']
Abbt	24	['Übername']
Abbühl	11	['Wohnstätte']
Abdalla	84	['Rufname']
Abdallah	169	['Rufname']
Abdalrahman	3	['Rufname']
Abdel-Karim	8	['Rufname']
Abdelaziz	19	['Rufname']
Abdelhamid	15	['Rufname']
Abdelkader	46	['Rufname']
Abdelkarim	8	['Rufname']
Abdella	3	['Rufname']
Abdellah	12	['Rufname']
Abdellatif	12	['Rufname']
Abdelrahman	14	['Rufname']
Abderrahman	12	['Rufname']
Abderrahmane	15	['Rufname']
Abdul-Karim	12	['Rufname']
Abdulaziz	11	['Rufname']
Abdulhamid	6	['Rufname']
Abdulkader	14	['Rufname']
Abdulkadir	31	['Rufname']
Abdulkarim	12	['Rufname']
Abdulla	32	['Rufname']
Abdullah	171	['Rufname']
Abdullatif	6	['Rufname']
Abdulrahman	31	['Rufname']
Abdurahman	16	['Rufname']
Abdurrahman	50	['Rufname']
Abe	360	['Rufname', 'Herkunft']
Abel	4539	['Rufname', 'Herkunft']
Abele	1760	['Rufname']
Abelein	101	['Rufname']
Abelen	32	['Rufname']
Abeles	3	['Rufname']
Abelhans	11	['Rufname']
Abeling	234	['Rufname']
Abelius	13	['Rufname']
Abelmann	168	['Rufname']
Abeln	589	['Rufname']
Abels	1277	['Rufname']
Abelt	70	['Rufname']
Aben	49	['Rufname']
