	text	frequency	label
23868	Haenzel	8	Rufname
64829	Springenzaun	2	Übername
45677	Mielcarek	152	Beruf
64169	Sobzak	6	Rufname
38376	Kuscu	82	Beruf
41394	Litwinenko	27	Herkunft
73056	Waagmeester	1	Beruf
11878	Dierkink	1	Rufname
58982	Schefski	18	Beruf
4486	Berndsmann	2	Rufname
68473	Thammen	1	Rufname
47484	Nastally	4	Übername
74612	Wellemsen	17	Rufname
18106	Frontzeck	23	Rufname
6409	Borgerdt	1	Rufname
69842	Trautrim	6	Rufname
3424	Baublys	7	Übername
65532	Steidtmann	37	Wohnstätte
35247	Klöckers	20	Beruf
24749	Harscher	99	Beruf
72016	Vonderstrass	8	Wohnstätte
11534	Deschlmayr	6	Beruf
28408	Holzwarth	1243	Beruf
51747	Petratis	1	Rufname
32356	Kalberla	2	Herkunft
37736	Kubale	66	Rufname
21516	Griguschies	5	Rufname
46862	Märcle	1	Rufname
47497	Nauberg	2	Wohnstätte
24586	Hantschk	44	Rufname
26035	Helmboldt	117	Rufname
7604	Brunholt	3	Rufname
19078	Geerke	22	Rufname
13294	Dumong	3	Wohnstätte
33637	Kerstens	33	Rufname
9237	Caroli	94	Rufname
57230	Ruschemeier	25	Beruf
37954	Kufahl	93	Beruf
51816	Petrzyk	1	Rufname
25959	Hellbig	11	Rufname
28405	Holzward	7	Beruf
48727	Nisanci	23	Übername
31129	Jenß	179	Rufname
62687	Sefcik	14	Beruf
52582	Plogstert	23	Beruf
59518	Schießler	104	Beruf
65019	Staiss	3	Rufname
70900	Unverzagt	390	Übername
72347	Völs	22	Rufname
75640	Wiersbitzky	16	Herkunft
61091	Scholtyhsik	2	Beruf
6385	Borchers	2817	Rufname
35843	Koestlmaier	2	Beruf
38327	Kurtzweil	5	Übername
38978	Kühnemundt	44	Rufname
72687	von Gruenewaldt	4	Wohnstätte
48794	Nobars	6	Übername
28313	Holzgräbe	16	Beruf
28309	Holzgrebe	26	Beruf
78100	Zellhuber	127	Beruf
69016	Thumann	447	Rufname
21904	Grossjean	9	Rufname
33859	Kienecker	19	Rufname
19839	Geyger	8	Beruf
39728	Laumayer	9	Beruf
45594	Michelssen	9	Rufname
30663	Jamroziak	4	Rufname
34486	Kleess	2	Rufname
52008	Pfirmann	91	Rufname
9274	Caspersmeyer	1	Beruf
25784	Heinrichsmeyer	41	Beruf
31814	Jungknickel	2	Rufname
55477	Reutlinger	157	Herkunft
11396	Denissen	14	Rufname
78099	Zellhorn	15	Herkunft
61515	Schultejohann	5	Rufname
8529	Bänisch	71	Rufname
43828	Marschalk	69	Beruf
52982	Pothoff	15	Wohnstätte
26136	Hemmerle	225	Beruf
54880	Reifschneider	418	Beruf
9783	Cingöz	32	Übername
46184	Moelchert	2	Rufname
4201	Bercken	1	Wohnstätte
4156	Bentje	11	Rufname
42970	MacCarthy	1	Rufname
17523	Freerking	6	Rufname
22822	Gundt	50	Rufname
9379	Centmayer	52	Beruf
22902	Gutherl	2	Übername
54556	Rechnitzer	26	Herkunft
73225	Wailandt	1	Rufname
48958	Notdorft	1	Übername
24167	Halbritter	535	Übername
3015	Bardtenschlager	19	Beruf
52506	Pivorius	2	Beruf
64109	Smolke	16	Beruf
29806	Hüllencremer	4	Beruf
78001	Zeiberts	4	Rufname
21994	Groß-Heynck	12	Wohnstätte
42037	Ludwigh	15	Rufname
29692	Hörrmann	170	Rufname
9676	Christoleit	16	Rufname
30882	Janza	21	Rufname
1120	Althuber	6	Beruf
11712	Dickschus	16	Rufname
1511	Anlauf	483	Übername
345	Adamovic	57	Rufname
22688	Gudaitis	6	Herkunft
61074	Schollmeier	198	Beruf
36336	Koppotsch	2	Beruf
31182	Jettkannt	4	Rufname
35359	Knapich	7	Beruf
65201	Staroske	92	Beruf
69086	Thölen	99	Rufname
56332	Rohnstock	82	Herkunft
73017	von der Heide	392	Wohnstätte
16410	Fensterer	84	Beruf
44664	Meeuw	60	Rufname
54817	Reicholt	2	Rufname
64706	Spirkel	1	Übername
69532	Toenges	19	Rufname
10282	Cristmann	1	Rufname
69466	Tkacova	2	Beruf
60733	Schneiderhan	188	Rufname
77034	Wouters	125	Rufname
74510	Weitkemper	56	Wohnstätte
65126	Stankiewic	7	Rufname
68637	Theurkauf	4	Übername
10895	Dargus	15	Rufname
76275	Witkoski	3	Herkunft
5070	Biertz	36	Rufname
65087	Stangenberger	9	Wohnstätte
32307	Kaifel	59	Beruf
70830	Unterloff	2	Übername
65815	Stelmaschenko	1	Beruf
14599	Eisenbeiß	222	Übername
43557	Manthau	21	Herkunft
71124	Valentowicz	3	Rufname
16306	Felbermayer	3	Beruf
48013	Neuhs	35	Herkunft
14876	Ellwood	3	Rufname
1032	Alof	39	Rufname
64939	Stadlbauer	342	Beruf
73040	von der Weiden	106	Wohnstätte
34114	Kirchhuber	20	Beruf
16066	Faulborn	46	Wohnstätte
62989	Sempf	184	Beruf
50462	Osterlehner	32	Beruf
68522	Theilke	10	Rufname
75821	Wilkat	52	Übername
74140	Weickmann	65	Rufname
59370	Schickedanz	252	Übername
71214	Vasilopoulou	1	Rufname
40736	Leutholt	1	Rufname
42093	Lueker	2	Rufname
71887	Volkenrath	28	Herkunft
75981	Wilmink	114	Rufname
73792	Wayandt	8	Rufname
1764	Arenz	927	Rufname
5327	Birkenmeier	141	Beruf
14948	Emhardt	74	Rufname
21072	Granzow	674	Herkunft
71413	Verbrueggen	1	Wohnstätte
50268	Orawczak	2	Herkunft
33387	Kehagias	17	Beruf
51015	Papiez	2	Übername
6050	Boettger	106	Beruf
36396	Kornhass	4	Übername
27429	Hinterkopf	60	Wohnstätte
73348	Walendsius	2	Rufname
19071	Geerdsen	35	Rufname
78180	Zergübel	2	Übername
78366	Zilliox	8	Rufname
61998	Schwingeweitzen	9	Beruf
27070	Heynike	1	Rufname
39592	Langmeir	5	Beruf
54041	Rafalzik	29	Rufname
31420	Johansson	231	Rufname
68328	Teske	1825	Rufname
64775	Spoettl	1	Übername
70657	Umfug	2	Übername
50840	Panagakis	1	Rufname
27370	Hingsammer	4	Herkunft
67319	Suenderhauf	1	Wohnstätte
19950	Gierlichs	75	Rufname
33068	Kastelijns	2	Beruf
43534	Manoussakis	6	Rufname
9331	Caßebaum	4	Wohnstätte
19974	Gieseking	325	Rufname
49282	Nägler	243	Beruf
25409	Heerenz	3	Rufname
26799	Hertmann	27	Rufname
2080	Assmus	200	Rufname
6532	Bortnick	4	Beruf
15160	Enss	16	Rufname
21945	Groteklaes	15	Rufname
3306	Bartossek	51	Rufname
56392	Rolefs	31	Rufname
41068	Liliendam	11	Wohnstätte
68704	Thiehle	2	Rufname
67884	Takahashi	47	Wohnstätte
40229	Leimbeck	62	Herkunft
53349	Prokofyev	5	Rufname
33842	Kielmeyer	14	Beruf
42796	Lütger	9	Rufname
66155	Stiglmeier	97	Beruf
34203	Kiseler	3	Übername
44485	Mayerson	1	Rufname
11675	Diamantoglou	3	Rufname
47433	Napoletano	27	Herkunft
47811	Nemec	205	Herkunft
3962	Belooussov	3	Übername
21223	Gregorzuk	11	Rufname
19113	Gehb	82	Rufname
39138	Laak	43	Wohnstätte
20041	Giloy	53	Rufname
18795	Gansweidt	26	Wohnstätte
75366	Widmair	10	Beruf
69099	Thöniss	1	Rufname
31204	Jiracek	4	Rufname
72074	Vordermark	18	Wohnstätte
30532	Jakobasch	15	Rufname
72850	von Petersdorf	2	Herkunft
30406	Jacobshagen	55	Herkunft
24178	Halfbrodt	50	Beruf
28106	Hollewede	1	Herkunft
28567	Horejs	2	Wohnstätte
74005	Wegstein	60	Wohnstätte
13577	Dörffer	24	Wohnstätte
37038	Krautheim	126	Herkunft
41026	Lieschke	182	Übername
69648	Tomberg	81	Wohnstätte
47265	Münchmeyer	110	Beruf
31635	Jovanowitsch	1	Rufname
20970	Grabig	45	Herkunft
20835	Gosewehr	53	Wohnstätte
37065	Krautstrunk	48	Beruf
12559	Dohne	31	Rufname
20185	Glassner	69	Beruf
4466	Bernat	108	Rufname
40766	Leverens	1	Rufname
63906	Sixl	36	Rufname
63459	Siefke	247	Rufname
5491	Blahak	43	Rufname
20283	Gloksin	2	Herkunft
24442	Hanfland	193	Wohnstätte
42174	Luidthard	1	Rufname
9909	Clef	31	Herkunft
38379	Kusmierek	10	Beruf
54906	Reimertz	89	Rufname
59144	Schellkopf	21	Übername
20626	Goldgräbe	27	Beruf
60707	Schneeweihs	1	Übername
66328	Stoeffen	3	Rufname
37612	Krusekopp	8	Übername
69073	Thys	47	Rufname
68267	Terlinde	47	Wohnstätte
1553	Antess	3	Rufname
72105	Vormbrocke	29	Wohnstätte
27283	Hilsemer	26	Herkunft
25009	Hasslöcher	12	Herkunft
8711	Bökenbrink	37	Wohnstätte
19126	Gehlhaar	505	Übername
69661	Tomczak	562	Rufname
36491	Koschinek	10	Beruf
8456	Buttkereit	34	Beruf
68987	Thorwarth	273	Beruf
16852	Firmenich	154	Herkunft
37486	Krollpfeiffer	38	Beruf
56784	Rothvoss	3	Übername
67915	Tamms	105	Rufname
59241	Scherfke	27	Übername
36745	Kowalzyk	38	Beruf
30871	Jantzen	791	Rufname
9527	Chmelarsch	4	Beruf
31965	Jändl	16	Rufname
24659	Hardege	56	Rufname
15458	Ernhardt	28	Rufname
25441	Hefker	7	Beruf
6468	Borkowski	1047	Herkunft
10846	Dannhausen	52	Herkunft
4910	Bickard	5	Herkunft
37741	Kuballe	15	Rufname
50752	Paehlig	1	Rufname
39352	Lambrou	8	Rufname
74594	Welbertz	5	Rufname
26294	Hennevogl	14	Übername
24463	Hanisch	3291	Rufname
43749	Markmeier	26	Beruf
49165	Nuesse	7	Rufname
47026	Mösbauer	75	Beruf
63514	Siegmund	2777	Rufname
3098	Barnhart	8	Rufname
11358	Dempster	6	Beruf
4118	Benninga	2	Rufname
785	Al-Khatib	20	Beruf
71910	Volknandt	13	Rufname
39251	Laemmerhirt	20	Beruf
29753	Hübsche	23	Übername
45844	Milbredt	81	Rufname
65244	Stattmüller	36	Beruf
46242	Mohnsame	25	Beruf
7623	Brunnenmeier	37	Beruf
48270	Nicolei	23	Rufname
36714	Kowalke	403	Beruf
56912	Rubers	2	Rufname
44530	Mazurs	3	Herkunft
4058	Benedix	506	Rufname
46661	Mullner	3	Beruf
62720	Segmüller	64	Beruf
47483	Nastalie	4	Übername
5404	Bischop	91	Übername
53096	Preikscheit	6	Übername
78872	Zühlsdorff	154	Herkunft
51812	Petry	3106	Rufname
57981	Safran	52	Beruf
66772	Strohkirchen	9	Herkunft
78200	Zerwinsky	1	Herkunft
69973	Troeschel	1	Beruf
36104	Kondrun	3	Rufname
27930	Hofmeier	379	Beruf
40023	Lehmbrink	19	Wohnstätte
1917	Arppe	9	Rufname
41374	Littschwager	30	Übername
4849	Bialasik	12	Übername
29298	Hänschel	14	Rufname
34140	Kiriakidou	15	Rufname
65325	Stechner	2	Beruf
50088	Olf	141	Rufname
3433	Baudoin	14	Rufname
14224	Ehlbracht	5	Rufname
78894	zum Bruch	15	Wohnstätte
69211	Tiedjen	9	Rufname
25644	Heimerle	8	Rufname
52652	Podßus	7	Beruf
38193	Kupjetz	16	Beruf
29757	Hübschle	62	Übername
41938	Luboldt	5	Rufname
53451	Prymka	8	Rufname
74192	Weiersmüller	9	Beruf
24626	Happoldt	1	Rufname
27669	Hoedemacher	3	Beruf
33358	Kechagidou	1	Beruf
78031	Zeilmayr	1	Beruf
